"","COU","YEAR","FOODTFAT.PROPERQT","FOODCALT.CALPERQT","FOODPROT.PROPERQT","FOODSUCR.KGPPERNB","FOODFRUI.KGPPERNB","ACOLALCT.LIPPERNB","FOODVEGG.KGPPERNB","PHARMAEXP.PC_GDP","HRWKD.HR_WKD","MNTDISORDSHR.PC_POBL"
"564","ROU",2013,123.207386363636,3267.83712121212,98.9037878787879,43.2291666666667,95.4736742424242,8.62933333333333,108.810795454545,2.039,1806,11.49304476
"565","ROU",2014,123.207386363636,3267.83712121212,98.9037878787879,43.2291666666667,95.4736742424242,8.62933333333333,108.810795454545,1.772,1793,11.50618589
"566","ROU",2015,123.207386363636,3267.83712121212,98.9037878787879,43.2291666666667,95.4736742424242,8.62933333333333,108.810795454545,1.654,1786,11.51247566
"567","ROU",2016,123.207386363636,3267.83712121212,98.9037878787879,43.2291666666667,95.4736742424242,8.62933333333333,108.810795454545,1.555,1809,11.51387782
"568","MLT",2014,123.207386363636,3267.83712121212,98.9037878787879,43.2291666666667,95.4736742424242,8.62933333333333,108.810795454545,1.574,1971,14.58414395
"569","MLT",2015,123.207386363636,3267.83712121212,98.9037878787879,43.2291666666667,95.4736742424242,8.62933333333333,108.810795454545,1.593,1955,14.60164635
"570","MLT",2016,123.207386363636,3267.83712121212,98.9037878787879,43.2291666666667,95.4736742424242,8.62933333333333,108.810795454545,1.475,2038,14.62045601
"571","BGR",2009,123.207386363636,3267.83712121212,98.9037878787879,43.2291666666667,95.4736742424242,8.62933333333333,108.810795454545,1.46221040723982,1646,11.70671367
"572","BGR",2010,123.207386363636,3267.83712121212,98.9037878787879,43.2291666666667,95.4736742424242,8.62933333333333,108.810795454545,1.46221040723982,1645,11.69020746
"573","BGR",2011,123.207386363636,3267.83712121212,98.9037878787879,43.2291666666667,95.4736742424242,8.62933333333333,108.810795454545,1.46221040723982,1644,11.68960974
"574","HRV",2005,123.207386363636,3267.83712121212,98.9037878787879,43.2291666666667,95.4736742424242,8.62933333333333,108.810795454545,1.46221040723982,1926,11.99545685
"575","HRV",2006,123.207386363636,3267.83712121212,98.9037878787879,43.2291666666667,95.4736742424242,8.62933333333333,108.810795454545,1.46221040723982,1928,11.98228141
"576","HRV",2007,123.207386363636,3267.83712121212,98.9037878787879,43.2291666666667,95.4736742424242,8.62933333333333,108.810795454545,1.46221040723982,1930,11.96527542
"577","HRV",2008,123.207386363636,3267.83712121212,98.9037878787879,43.2291666666667,95.4736742424242,8.62933333333333,108.810795454545,1.46221040723982,1931,11.94133211
"578","HRV",2009,123.207386363636,3267.83712121212,98.9037878787879,43.2291666666667,95.4736742424242,8.62933333333333,108.810795454545,1.46221040723982,1928,11.93279339
"579","HRV",2010,123.207386363636,3267.83712121212,98.9037878787879,43.2291666666667,95.4736742424242,8.62933333333333,108.810795454545,1.46221040723982,1942,11.91371518
"580","MLT",2005,123.207386363636,3267.83712121212,98.9037878787879,43.2291666666667,95.4736742424242,8.62933333333333,108.810795454545,1.46221040723982,2167,14.6408015
"581","MLT",2006,123.207386363636,3267.83712121212,98.9037878787879,43.2291666666667,95.4736742424242,8.62933333333333,108.810795454545,1.46221040723982,2175,14.61352514
"582","MLT",2007,123.207386363636,3267.83712121212,98.9037878787879,43.2291666666667,95.4736742424242,8.62933333333333,108.810795454545,1.46221040723982,2171,14.58226328
"583","MLT",2008,123.207386363636,3267.83712121212,98.9037878787879,43.2291666666667,95.4736742424242,8.62933333333333,108.810795454545,1.46221040723982,2184,14.57921109
"584","MLT",2009,123.207386363636,3267.83712121212,98.9037878787879,43.2291666666667,95.4736742424242,8.62933333333333,108.810795454545,1.46221040723982,2190,14.54409603
"585","MLT",2010,123.207386363636,3267.83712121212,98.9037878787879,43.2291666666667,95.4736742424242,8.62933333333333,108.810795454545,1.46221040723982,2136,14.52740446
"586","MLT",2011,123.207386363636,3267.83712121212,98.9037878787879,43.2291666666667,95.4736742424242,8.62933333333333,108.810795454545,1.46221040723982,2069,14.546763
"587","MLT",2012,123.207386363636,3267.83712121212,98.9037878787879,43.2291666666667,95.4736742424242,8.62933333333333,108.810795454545,1.46221040723982,2037,14.54858271
"588","MLT",2013,123.207386363636,3267.83712121212,98.9037878787879,43.2291666666667,95.4736742424242,8.62933333333333,108.810795454545,1.46221040723982,2017,14.57187395
